zipcode,state
73660,Oklahoma
73661,Oklahoma
73946,Oklahoma
73947,Oklahoma
74046,Oklahoma
74727,Oklahoma
74737,Oklahoma
74752,Oklahoma
76238,Texas
76271,Texas
76363,Texas
76371,Texas
76429,Texas
76824,Texas
76841,Texas
76858,Texas
76859,Texas
76930,Texas
76950,Texas
78591,Texas
78946,Texas
78949,Texas
79046,Texas
79056,Texas
79248,Texas
79502,Texas
79505,Texas
79830,Texas
79831,Texas
79832,Texas
79834,Texas
79842,Texas
79843,Texas
79845,Texas
79846,Texas
79848,Texas
79852,Texas
80423,Colorado
80426,Colorado
80428,Colorado
80463,Colorado
80467,Colorado
80469,Colorado
80479,Colorado
80483,Colorado
80732,Colorado
80862,Colorado
81021,Colorado
81027,Colorado
81029,Colorado
81041,Colorado
81043,Colorado
81046,Colorado
81047,Colorado
81049,Colorado
81064,Colorado
81084,Colorado
81087,Colorado
81090,Colorado
81091,Colorado
81120,Colorado
81124,Colorado
81130,Colorado
81131,Colorado
81132,Colorado
81135,Colorado
81138,Colorado
81140,Colorado
81141,Colorado
81148,Colorado
81151,Colorado
81154,Colorado
81228,Colorado
81235,Colorado
81237,Colorado
81239,Colorado
81248,Colorado
81426,Colorado
81431,Colorado
81433,Colorado
81522,Colorado
81623,Colorado
81624,Colorado
81640,Colorado
81643,Colorado
81645,Colorado
81646,Colorado
81649,Colorado
81653,Colorado
81654,Colorado
81655,Colorado
82010,Wyoming
82050,Wyoming
82051,Wyoming
82058,Wyoming
82061,Wyoming
82063,Wyoming
82190,Wyoming
82219,Wyoming
82224,Wyoming
82227,Wyoming
82242,Wyoming
82243,Wyoming
82324,Wyoming
82327,Wyoming
82329,Wyoming
82335,Wyoming
82336,Wyoming
82411,Wyoming
82412,Wyoming
82414,Wyoming
82422,Wyoming
82423,Wyoming
82428,Wyoming
82430,Wyoming
82431,Wyoming
82433,Wyoming
82434,Wyoming
82440,Wyoming
82441,Wyoming
82442,Wyoming
82450,Wyoming
82513,Wyoming
82523,Wyoming
82639,Wyoming
82710,Wyoming
82711,Wyoming
82714,Wyoming
82715,Wyoming
82720,Wyoming
82725,Wyoming
82727,Wyoming
82731,Wyoming
82831,Wyoming
82832,Wyoming
82833,Wyoming
82835,Wyoming
82836,Wyoming
82837,Wyoming
82839,Wyoming
82842,Wyoming
82844,Wyoming
82845,Wyoming
82901,Wyoming
82902,Wyoming
82922,Wyoming
82923,Wyoming
82929,Wyoming
82930,Wyoming
82932,Wyoming
82933,Wyoming
82934,Wyoming
82935,Wyoming
82936,Wyoming
82937,Wyoming
82939,Wyoming
82942,Wyoming
82943,Wyoming
82944,Wyoming
82945,Wyoming
83001,Wyoming
83002,Wyoming
83011,Wyoming
83012,Wyoming
83013,Wyoming
83014,Wyoming
83025,Wyoming
83101,Wyoming
83110,Wyoming
83111,Wyoming
83112,Wyoming
83113,Wyoming
83114,Wyoming
83115,Wyoming
83116,Wyoming
83118,Wyoming
83119,Wyoming
83120,Wyoming
83123,Wyoming
83124,Wyoming
83126,Wyoming
83127,Wyoming
83128,Wyoming
83201,Idaho
83202,Idaho
83203,Idaho
83204,Idaho
83205,Idaho
83206,Idaho
83209,Idaho
83210,Idaho
83211,Idaho
83212,Idaho
83213,Idaho
83214,Idaho
83215,Idaho
83217,Idaho
83218,Idaho
83220,Idaho
83221,Idaho
83223,Idaho
83226,Idaho
83227,Idaho
83228,Idaho
83229,Idaho
83232,Idaho
83233,Idaho
83234,Idaho
83235,Idaho
83236,Idaho
83237,Idaho
83238,Idaho
83241,Idaho
83243,Idaho
83244,Idaho
83245,Idaho
83246,Idaho
83250,Idaho
83251,Idaho
83252,Idaho
83253,Idaho
83254,Idaho
83255,Idaho
83256,Idaho
83261,Idaho
83262,Idaho
83263,Idaho
83271,Idaho
83272,Idaho
83274,Idaho
83276,Idaho
83277,Idaho
83278,Idaho
83281,Idaho
83283,Idaho
83285,Idaho
83286,Idaho
83287,Idaho
83301,Idaho
83302,Idaho
83303,Idaho
83311,Idaho
83312,Idaho
83313,Idaho
83314,Idaho
83316,Idaho
83318,Idaho
83320,Idaho
83321,Idaho
83322,Idaho
83323,Idaho
83324,Idaho
83325,Idaho
83327,Idaho
83328,Idaho
83330,Idaho
83332,Idaho
83333,Idaho
83334,Idaho
83335,Idaho
