Product SKU,,,,Product Description,Stock,NEW STATUS,Current Qty,Qty Sold,Price,Discounted Price,Supplier,Supplier Price,Alert Limit,Max LImit,Category,Sub-category,Factory
A001,H2,,,Florence Bench 2 Seaters Top Grain-Cream,Non-Inventory,,0,0,1429,,SCTF-100,$164.00 ,,,Chairs,,Titahot
A001,H3,,,Florence Bench 2 Seaters Top Grain-Dark Brown,Non-Inventory,,0,1,1429,,SCTF-100,$164.00 ,,,Chairs,,Titahot
A001,H4,,,Florence Bench 2 Seaters Top Grain-Tan,Non-Inventory,,0,0,1429,,SCTF-100,$164.00 ,,,Chairs,,Titahot
A001,H5,,,Florence Bench 2 Seaters Top Grain-Red,Non-Inventory,,0,0,1429,,SCTF-100,$164.00 ,,,Chairs,,Titahot
A001,J0,,,Florence Bench 2 Seaters Vintage Leather-Brown,Non-Inventory,,0,0,1679,,SCTF-100,$211.00 ,,,Chairs,,Titahot
A001,J5,,,Florence Bench 2 Seaters Vintage Leather-Caramel,Non-Inventory,,0,0,1679,,SCTF-100,$211.00 ,,,Chairs,,Titahot
A001,V0,,,Florence Bench 2 Seaters Aniline Leather-Black,Non-Inventory,,0,0,1519,,SCTF-100,$177.00 ,,,Chairs,,Titahot
A001,V1,,,Florence Bench 2 Seaters Aniline Leather-White,Non-Inventory,,0,0,1519,,SCTF-100,$177.00 ,,,Chairs,,Titahot
A001,V2,,,Florence Bench 2 Seaters Aniline Leather-Cream,Non-Inventory,,0,0,1519,,SCTF-100,$177.00 ,,,Chairs,,Titahot
A001,V3,,,Florence Bench 2 Seaters Aniline Leather-Dark Brown,Non-Inventory,,0,0,1519,,SCTF-100,$177.00 ,,,Chairs,,Titahot
A001,V4,,,Florence Bench 2 Seaters Aniline Leather-Beige,Non-Inventory,,0,0,1519,,SCTF-100,$177.00 ,,,Chairs,,Titahot
A001,V5,,,Florence Bench 2 Seaters Aniline Leather-Camel,Non-Inventory,,0,6,1519,,SCTF-100,$177.00 ,,,Chairs,,Titahot
A002,A0,,,Florence Bench 3 Seaters Cashmere-Wheat Grey,Non-Inventory,,0,0,1679,,SCTF-100,$161.00 ,,,Chairs,,Titahot
A002,A1,,,Florence Bench 3 Seaters Cashmere-Granite Dark Grey,Non-Inventory,,0,0,1679,,SCTF-100,$161.00 ,,,Chairs,,Titahot
A002,A2,,,Florence Bench 3 Seaters Cashmere-Chartreuse Green,Non-Inventory,,0,1,1679,,SCTF-100,$161.00 ,,,Chairs,,Titahot
A002,A3,,,Florence Bench 3 Seaters Cashmere-Snow White,Non-Inventory,,0,0,1679,,SCTF-100,$161.00 ,,,Chairs,,Titahot
A002,A4,,,Florence Bench 3 Seaters Cashmere-Dijon Yellow,Non-Inventory,,0,0,1679,,SCTF-100,$161.00 ,,,Chairs,,Titahot
A002,A5,,,Florence Bench 3 Seaters Cashmere-Tiffany Blue,Non-Inventory,,0,0,1679,,SCTF-100,$161.00 ,,,Chairs,,Titahot
A002,A6,,,Florence Bench 3 Seaters Cashmere-Imperial Red,Non-Inventory,,0,1,1679,,SCTF-100,$161.00 ,,,Chairs,,Titahot
A002,A7,,,Florence Bench 3 Seaters Cashmere-Cobalt Blue,Non-Inventory,,0,0,1679,,SCTF-100,$161.00 ,,,Chairs,,Titahot
A002,A8,,,Florence Bench 3 Seaters Cashmere-Pine Green,Non-Inventory,,0,0,1679,,SCTF-100,$161.00 ,,,Chairs,,Titahot
A002,A9,,,Florence Bench 3 Seaters Cashmere-Blue Grey,Non-Inventory,,0,0,1679,,SCTF-100,$161.00 ,,,Chairs,,Titahot
A002,AA,,,Florence Bench 3 Seaters Cashmere-Spanish Orange,Non-Inventory,,0,0,1679,,SCTF-100,$161.00 ,,,Chairs,,Titahot
A002,AB,,,Florence Bench 3 Seaters Cashmere-Cape Sands,Non-Inventory,,0,0,1679,,SCTF-100,$161.00 ,,,Chairs,,Titahot
A002,B0,,,Florence Bench 3 Seaters Boucle Wool-Ruby,Non-Inventory,,0,0,1679,,SCTF-100,$126.00 ,,,Chairs,,Titahot
A002,B2,,,Florence Bench 3 Seaters Boucle Wool-Charcoal Grey,Non-Inventory,Deactivated,0,0,1679,,SCTF-100,$126.00 ,,,Chairs,,Titahot
A002,B3,,,Florence Bench 3 Seaters Boucle Wool-Yellow,Non-Inventory,,0,0,1679,,SCTF-100,$126.00 ,,,Chairs,,Titahot
A002,B5,,,Florence Bench 3 Seaters Boucle Wool-Ocean,Non-Inventory,,0,0,1679,,SCTF-100,$126.00 ,,,Chairs,,Titahot
A002,B7,,,Florence Bench 3 Seaters Boucle Wool-Copper,Non-Inventory,,0,0,1679,,SCTF-100,$126.00 ,,,Chairs,,Titahot
A002,C0,,,Florence Bench 3 Seaters Velvet-Ecru Champagne,Non-Inventory,,0,0,1679,,SCTF-100,$126.00 ,,,Chairs,,Titahot
A002,C1,,,Florence Bench 3 Seaters Velvet-Slate Pebble,Non-Inventory,,0,0,1679,,SCTF-100,$126.00 ,,,Chairs,,Titahot
A002,C2,,,Florence Bench 3 Seaters Velvet-Rose Mauve,Non-Inventory,,0,0,1679,,SCTF-100,$126.00 ,,,Chairs,,Titahot
A002,C3,,,Florence Bench 3 Seaters Velvet Ginger Cider,Non-Inventory,,0,0,1679,,SCTF-100,$126.00 ,,,Chairs,,Titahot
A002,C4,,,Florence Bench 3 Seaters Velvet Tangerine Orange,Non-Inventory,,0,0,1679,,SCTF-100,$126.00 ,,,Chairs,,Titahot
A002,C5,,,Florence Bench 3 Seaters Velvet-Graphite Grey,Non-Inventory,,0,0,1679,,SCTF-100,$126.00 ,,,Chairs,,Titahot
A002,C6,,,Florence Bench 3 Seaters Velvet-Ash Brown,Non-Inventory,,0,0,1679,,SCTF-100,$126.00 ,,,Chairs,,Titahot
A002,C7,,,Florence Bench 3 Seaters Velvet-Empress Green,Non-Inventory,,0,0,1679,,SCTF-100,$126.00 ,,,Chairs,,Titahot
A002,C8,,,Florence Bench 3 Seaters Velvet-Indigo Blue,Non-Inventory,,0,0,1679,,SCTF-100,$126.00 ,,,Chairs,,Titahot
A002,C9,,,Florence Bench 3 Seaters Velvet-Jeweled Plum,Non-Inventory,,0,0,1679,,SCTF-100,$126.00 ,,,Chairs,,Titahot
A002,CA,,,Florence Bench 3 Seaters Velvet-Midnight Blue,Non-Inventory,,0,0,1679,,SCTF-100,$126.00 ,,,Chairs,,Titahot
A002,E0,,,Florence Bench 3 Seaters Linen-Slate Grey,Non-Inventory,Deactivated,0,0,1679,,SCTF-100,$126.00 ,,,Chairs,,Titahot
A002,E1,,,Florence Bench 3 Seaters Linen-Smoke,Non-Inventory,Deactivated,0,0,1679,,SCTF-100,$126.00 ,,,Chairs,,Titahot
A002,H0,,,Florence Bench 3 Seaters Top Grain-Black,Non-Inventory,,0,1,2109,,SCTF-100,$238.00 ,,,Chairs,,Titahot
A002,H1,,,Florence Bench 3 Seaters Top Grain-White,Non-Inventory,,0,0,2109,,SCTF-100,$238.00 ,,,Chairs,,Titahot
A002,H2,,,Florence Bench 3 Seaters Top Grain-Cream,Non-Inventory,,0,0,2109,,SCTF-100,$238.00 ,,,Chairs,,Titahot
A002,H3,,,Florence Bench 3 Seaters Top Grain-Dark Brown,Non-Inventory,,0,0,2109,,SCTF-100,$238.00 ,,,Chairs,,Titahot
A002,H4,,,Florence Bench 3 Seaters Top Grain-Tan,Non-Inventory,,0,2,2109,,SCTF-100,$238.00 ,,,Chairs,,Titahot
